
[VALID] Epoch 31: Loss: 0.0649, Acc: 89.03, F1: 89.39, Dice: 80.82, Pre: 0.87, Re: 0.92, TP: 573, TN: 531, FP: 89, FN: 47
[TRAIN] Epoch 32: Loss: 0.4177, Acc: 85.48, F1: 85.35, Dice: 74.44, Pre: 0.86, Re: 0.85, TP: 1704, TN: 1741, FP: 274, FN: 311
[VALID] Epoch 32: Loss: 0.0649, Acc: 89.19, F1: 89.79, Dice: 81.47, Pre: 0.85, Re: 0.95, TP: 589, TN: 517, FP: 103, FN: 31
[TRAIN] Epoch 33: Loss: 0.3982, Acc: 86.77, F1: 86.78, Dice: 76.64, Pre: 0.87, Re: 0.87, TP: 1749, TN: 1748, FP: 267, FN: 266
[VALID] Epoch 33: Loss: 0.0649, Acc: 89.52, F1: 90.02, Dice: 81.84, Pre: 0.86, Re: 0.95, TP: 586, TN: 524, FP: 96, FN: 34
[TRAIN] Epoch 34: Loss: 0.3907, Acc: 86.75, F1: 86.81, Dice: 76.69, Pre: 0.86, Re: 0.87, TP: 1757, TN: 1739, FP: 276, FN: 258
[VALID] Epoch 34: Loss: 0.0649, Acc: 89.52, F1: 90.18, Dice: 82.12, Pre: 0.85, Re: 0.96, TP: 597, TN: 513, FP: 107, FN: 23
[TRAIN] Epoch 35: Loss: 0.3797, Acc: 87.54, F1: 87.72, Dice: 78.13, Pre: 0.86, Re: 0.89, TP: 1793, TN: 1735, FP: 280, FN: 222
[VALID] Epoch 35: Loss: 0.0649, Acc: 90.56, F1: 91.14, Dice: 83.73, Pre: 0.86, Re: 0.97, TP: 602, TN: 521, FP: 99, FN: 18
[TRAIN] Epoch 36: Loss: 0.3830, Acc: 86.77, F1: 86.91, Dice: 76.86, Pre: 0.86, Re: 0.88, TP: 1770, TN: 1727, FP: 288, FN: 245
[VALID] Epoch 36: Loss: 0.0649, Acc: 89.92, F1: 90.38, Dice: 82.44, Pre: 0.86, Re: 0.95, TP: 587, TN: 528, FP: 92, FN: 33
[TRAIN] Epoch 37: Loss: 0.3694, Acc: 87.52, F1: 87.63, Dice: 77.99, Pre: 0.87, Re: 0.88, TP: 1782, TN: 1745, FP: 270, FN: 233
[VALID] Epoch 37: Loss: 0.0649, Acc: 89.68, F1: 90.05, Dice: 81.90, Pre: 0.87, Re: 0.93, TP: 579, TN: 533, FP: 87, FN: 41
[TRAIN] Epoch 38: Loss: 0.3596, Acc: 88.21, F1: 88.38, Dice: 79.18, Pre: 0.87, Re: 0.90, TP: 1806, TN: 1749, FP: 266, FN: 209
[VALID] Epoch 38: Loss: 0.0654, Acc: 89.84, F1: 90.54, Dice: 82.72, Pre: 0.85, Re: 0.97, TP: 603, TN: 511, FP: 109, FN: 17
[TRAIN] Epoch 39: Loss: 0.3517, Acc: 88.31, F1: 88.58, Dice: 79.50, Pre: 0.87, Re: 0.91, TP: 1827, TN: 1732, FP: 283, FN: 188
[VALID] Epoch 39: Loss: 0.0649, Acc: 90.56, F1: 91.12, Dice: 83.68, Pre: 0.86, Re: 0.97, TP: 600, TN: 523, FP: 97, FN: 20
[TRAIN] Epoch 40: Loss: 0.3458, Acc: 88.21, F1: 88.34, Dice: 79.11, Pre: 0.87, Re: 0.89, TP: 1799, TN: 1756, FP: 259, FN: 216
[VALID] Epoch 40: Loss: 0.0649, Acc: 90.48, F1: 91.02, Dice: 83.52, Pre: 0.86, Re: 0.96, TP: 598, TN: 524, FP: 96, FN: 22
[TRAIN] Epoch 41: Loss: 0.3336, Acc: 89.06, F1: 89.32, Dice: 80.71, Pre: 0.87, Re: 0.92, TP: 1845, TN: 1744, FP: 271, FN: 170
[VALID] Epoch 41: Loss: 0.0649, Acc: 90.65, F1: 90.99, Dice: 83.48, Pre: 0.88, Re: 0.95, TP: 586, TN: 538, FP: 82, FN: 34
[TRAIN] Epoch 42: Loss: 0.3315, Acc: 88.71, F1: 88.96, Dice: 80.12, Pre: 0.87, Re: 0.91, TP: 1834, TN: 1741, FP: 274, FN: 181
[VALID] Epoch 42: Loss: 0.0649, Acc: 90.32, F1: 90.90, Dice: 83.31, Pre: 0.86, Re: 0.97, TP: 599, TN: 521, FP: 99, FN: 21
[TRAIN] Epoch 43: Loss: 0.3263, Acc: 88.71, F1: 88.94, Dice: 80.09, Pre: 0.87, Re: 0.91, TP: 1830, TN: 1745, FP: 270, FN: 185
[VALID] Epoch 43: Loss: 0.0649, Acc: 89.44, F1: 89.93, Dice: 81.70, Pre: 0.86, Re: 0.94, TP: 585, TN: 524, FP: 96, FN: 35
[TRAIN] Epoch 44: Loss: 0.3167, Acc: 89.13, F1: 89.32, Dice: 80.70, Pre: 0.88, Re: 0.91, TP: 1831, TN: 1761, FP: 254, FN: 184
[VALID] Epoch 44: Loss: 0.0649, Acc: 90.32, F1: 90.99, Dice: 83.47, Pre: 0.85, Re: 0.98, TP: 606, TN: 514, FP: 106, FN: 14
[TRAIN] Epoch 45: Loss: 0.3093, Acc: 89.28, F1: 89.52, Dice: 81.03, Pre: 0.88, Re: 0.92, TP: 1845, TN: 1753, FP: 262, FN: 170
[VALID] Epoch 45: Loss: 0.0649, Acc: 90.81, F1: 91.38, Dice: 84.12, Pre: 0.86, Re: 0.97, TP: 604, TN: 522, FP: 98, FN: 16
[TRAIN] Epoch 46: Loss: 0.3119, Acc: 88.96, F1: 89.09, Dice: 80.32, Pre: 0.88, Re: 0.90, TP: 1816, TN: 1769, FP: 246, FN: 199
[VALID] Epoch 46: Loss: 0.0649, Acc: 90.40, F1: 91.06, Dice: 83.59, Pre: 0.85, Re: 0.98, TP: 606, TN: 515, FP: 105, FN: 14
[TRAIN] Epoch 47: Loss: 0.3061, Acc: 89.40, F1: 89.69, Dice: 81.31, Pre: 0.87, Re: 0.92, TP: 1858, TN: 1745, FP: 270, FN: 157
[VALID] Epoch 47: Loss: 0.0649, Acc: 91.13, F1: 91.72, Dice: 84.70, Pre: 0.86, Re: 0.98, TP: 609, TN: 521, FP: 99, FN: 11
[TRAIN] Epoch 48: Loss: 0.2974, Acc: 89.75, F1: 89.98, Dice: 81.79, Pre: 0.88, Re: 0.92, TP: 1855, TN: 1762, FP: 253, FN: 160
[VALID] Epoch 48: Loss: 0.0649, Acc: 90.16, F1: 90.92, Dice: 83.36, Pre: 0.84, Re: 0.99, TP: 611, TN: 507, FP: 113, FN: 9
[TRAIN] Epoch 49: Loss: 0.2956, Acc: 89.13, F1: 89.36, Dice: 80.76, Pre: 0.88, Re: 0.91, TP: 1839, TN: 1753, FP: 262, FN: 176
[VALID] Epoch 49: Loss: 0.0654, Acc: 91.13, F1: 91.73, Dice: 84.72, Pre: 0.86, Re: 0.98, TP: 610, TN: 520, FP: 100, FN: 10
[TRAIN] Epoch 50: Loss: 0.2951, Acc: 89.33, F1: 89.60, Dice: 81.17, Pre: 0.87, Re: 0.92, TP: 1853, TN: 1747, FP: 268, FN: 162
[VALID] Epoch 50: Loss: 0.0654, Acc: 89.44, F1: 90.02, Dice: 81.86, Pre: 0.85, Re: 0.95, TP: 591, TN: 518, FP: 102, FN: 29
[TRAIN] Epoch 51: Loss: 0.2850, Acc: 90.02, F1: 90.29, Dice: 82.31, Pre: 0.88, Re: 0.93, TP: 1870, TN: 1758, FP: 257, FN: 145
[VALID] Epoch 51: Loss: 0.0654, Acc: 91.05, F1: 91.70, Dice: 84.67, Pre: 0.85, Re: 0.99, TP: 613, TN: 516, FP: 104, FN: 7
[TRAIN] Epoch 52: Loss: 0.2861, Acc: 89.83, F1: 90.05, Dice: 81.91, Pre: 0.88, Re: 0.92, TP: 1856, TN: 1764, FP: 251, FN: 159
[VALID] Epoch 52: Loss: 0.0654, Acc: 90.81, F1: 91.40, Dice: 84.17, Pre: 0.86, Re: 0.98, TP: 606, TN: 520, FP: 100, FN: 14
[TRAIN] Epoch 53: Loss: 0.2935, Acc: 89.50, F1: 89.79, Dice: 81.47, Pre: 0.87, Re: 0.92, TP: 1860, TN: 1747, FP: 268, FN: 155
[VALID] Epoch 53: Loss: 0.0649, Acc: 91.45, F1: 92.04, Dice: 85.26, Pre: 0.86, Re: 0.99, TP: 613, TN: 521, FP: 99, FN: 7
[TRAIN] Epoch 54: Loss: 0.2836, Acc: 90.10, F1: 90.38, Dice: 82.45, Pre: 0.88, Re: 0.93, TP: 1874, TN: 1757, FP: 258, FN: 141
[VALID] Epoch 54: Loss: 0.0654, Acc: 90.65, F1: 91.33, Dice: 84.04, Pre: 0.85, Re: 0.99, TP: 611, TN: 513, FP: 107, FN: 9
[TRAIN] Epoch 55: Loss: 0.2674, Acc: 90.77, F1: 91.01, Dice: 83.50, Pre: 0.89, Re: 0.93, TP: 1882, TN: 1776, FP: 239, FN: 133
[VALID] Epoch 55: Loss: 0.0649, Acc: 90.89, F1: 91.56, Dice: 84.44, Pre: 0.85, Re: 0.99, TP: 613, TN: 514, FP: 106, FN: 7
[TRAIN] Epoch 56: Loss: 0.2594, Acc: 91.41, F1: 91.66, Dice: 84.61, Pre: 0.89, Re: 0.94, TP: 1902, TN: 1782, FP: 233, FN: 113
[VALID] Epoch 56: Loss: 0.0654, Acc: 91.37, F1: 91.88, Dice: 84.97, Pre: 0.87, Re: 0.98, TP: 605, TN: 528, FP: 92, FN: 15
[TRAIN] Epoch 57: Loss: 0.2734, Acc: 90.02, F1: 90.22, Dice: 82.18, Pre: 0.88, Re: 0.92, TP: 1854, TN: 1774, FP: 241, FN: 161
[VALID] Epoch 57: Loss: 0.0649, Acc: 91.94, F1: 92.37, Dice: 85.82, Pre: 0.88, Re: 0.98, TP: 605, TN: 535, FP: 85, FN: 15
[TRAIN] Epoch 58: Loss: 0.2616, Acc: 90.32, F1: 90.58, Dice: 82.77, Pre: 0.88, Re: 0.93, TP: 1874, TN: 1766, FP: 249, FN: 141
[VALID] Epoch 58: Loss: 0.0649, Acc: 91.69, F1: 92.17, Dice: 85.47, Pre: 0.87, Re: 0.98, TP: 606, TN: 531, FP: 89, FN: 14
[TRAIN] Epoch 59: Loss: 0.2662, Acc: 90.47, F1: 90.67, Dice: 82.93, Pre: 0.89, Re: 0.93, TP: 1865, TN: 1781, FP: 234, FN: 150
[VALID] Epoch 59: Loss: 0.0649, Acc: 92.02, F1: 92.55, Dice: 86.13, Pre: 0.87, Re: 0.99, TP: 615, TN: 526, FP: 94, FN: 5
[TRAIN] Epoch 60: Loss: 0.2589, Acc: 90.30, F1: 90.54, Dice: 82.72, Pre: 0.88, Re: 0.93, TP: 1872, TN: 1767, FP: 248, FN: 143
[VALID] Epoch 60: Loss: 0.0654, Acc: 91.13, F1: 91.73, Dice: 84.72, Pre: 0.86, Re: 0.98, TP: 610, TN: 520, FP: 100, FN: 10
[TRAIN] Epoch 61: Loss: 0.2644, Acc: 90.45, F1: 90.65, Dice: 82.90, Pre: 0.89, Re: 0.93, TP: 1867, TN: 1778, FP: 237, FN: 148
[VALID] Epoch 61: Loss: 0.0654, Acc: 91.53, F1: 92.10, Dice: 85.36, Pre: 0.86, Re: 0.99, TP: 612, TN: 523, FP: 97, FN: 8
[TRAIN] Epoch 62: Loss: 0.2421, Acc: 91.59, F1: 91.82, Dice: 84.87, Pre: 0.89, Re: 0.94, TP: 1902, TN: 1789, FP: 226, FN: 113
[VALID] Epoch 62: Loss: 0.0649, Acc: 92.18, F1: 92.67, Dice: 86.34, Pre: 0.87, Re: 0.99, TP: 613, TN: 530, FP: 90, FN: 7
[TRAIN] Epoch 63: Loss: 0.2462, Acc: 91.41, F1: 91.64, Dice: 84.57, Pre: 0.89, Re: 0.94, TP: 1897, TN: 1787, FP: 228, FN: 118
[VALID] Epoch 63: Loss: 0.0649, Acc: 91.85, F1: 92.40, Dice: 85.87, Pre: 0.87, Re: 0.99, TP: 614, TN: 525, FP: 95, FN: 6
[TRAIN] Epoch 64: Loss: 0.2411, Acc: 90.87, F1: 91.12, Dice: 83.70, Pre: 0.89, Re: 0.94, TP: 1889, TN: 1773, FP: 242, FN: 126
[VALID] Epoch 64: Loss: 0.0649, Acc: 91.37, F1: 91.90, Dice: 85.01, Pre: 0.87, Re: 0.98, TP: 607, TN: 526, FP: 94, FN: 13
[TRAIN] Epoch 65: Loss: 0.2375, Acc: 91.61, F1: 91.80, Dice: 84.84, Pre: 0.90, Re: 0.94, TP: 1891, TN: 1801, FP: 214, FN: 124
[VALID] Epoch 65: Loss: 0.0654, Acc: 92.10, F1: 92.58, Dice: 86.18, Pre: 0.87, Re: 0.99, TP: 611, TN: 531, FP: 89, FN: 9
[TRAIN] Epoch 66: Loss: 0.2454, Acc: 91.29, F1: 91.48, Dice: 84.30, Pre: 0.90, Re: 0.93, TP: 1884, TN: 1795, FP: 220, FN: 131
[VALID] Epoch 66: Loss: 0.0649, Acc: 92.18, F1: 92.68, Dice: 86.36, Pre: 0.87, Re: 0.99, TP: 614, TN: 529, FP: 91, FN: 6
[TRAIN] Epoch 67: Loss: 0.2382, Acc: 91.34, F1: 91.54, Dice: 84.41, Pre: 0.89, Re: 0.94, TP: 1889, TN: 1792, FP: 223, FN: 126
[VALID] Epoch 67: Loss: 0.0649, Acc: 92.10, F1: 92.56, Dice: 86.16, Pre: 0.87, Re: 0.98, TP: 610, TN: 532, FP: 88, FN: 10
[TRAIN] Epoch 68: Loss: 0.2401, Acc: 91.34, F1: 91.59, Dice: 84.49, Pre: 0.89, Re: 0.94, TP: 1901, TN: 1780, FP: 235, FN: 114
[VALID] Epoch 68: Loss: 0.0649, Acc: 92.50, F1: 92.88, Dice: 86.71, Pre: 0.88, Re: 0.98, TP: 607, TN: 540, FP: 80, FN: 13
[TRAIN] Epoch 69: Loss: 0.2452, Acc: 90.84, F1: 91.00, Dice: 83.49, Pre: 0.89, Re: 0.93, TP: 1866, TN: 1795, FP: 220, FN: 149
[VALID] Epoch 69: Loss: 0.0649, Acc: 92.42, F1: 92.79, Dice: 86.55, Pre: 0.88, Re: 0.98, TP: 605, TN: 541, FP: 79, FN: 15
[TRAIN] Epoch 70: Loss: 0.2267, Acc: 91.41, F1: 91.61, Dice: 84.51, Pre: 0.90, Re: 0.94, TP: 1888, TN: 1796, FP: 219, FN: 127
[VALID] Epoch 70: Loss: 0.0654, Acc: 91.53, F1: 92.11, Dice: 85.38, Pre: 0.86, Re: 0.99, TP: 613, TN: 522, FP: 98, FN: 7
[TRAIN] Epoch 71: Loss: 0.2355, Acc: 91.09, F1: 91.31, Dice: 84.02, Pre: 0.89, Re: 0.94, TP: 1887, TN: 1784, FP: 231, FN: 128
[VALID] Epoch 71: Loss: 0.0649, Acc: 92.42, F1: 92.88, Dice: 86.70, Pre: 0.88, Re: 0.99, TP: 613, TN: 533, FP: 87, FN: 7
[TRAIN] Epoch 72: Loss: 0.2391, Acc: 90.65, F1: 90.90, Dice: 83.31, Pre: 0.89, Re: 0.93, TP: 1882, TN: 1771, FP: 244, FN: 133
[VALID] Epoch 72: Loss: 0.0649, Acc: 91.69, F1: 92.26, Dice: 85.63, Pre: 0.86, Re: 0.99, TP: 614, TN: 523, FP: 97, FN: 6
[TRAIN] Epoch 73: Loss: 0.2285, Acc: 91.17, F1: 91.41, Dice: 84.18, Pre: 0.89, Re: 0.94, TP: 1894, TN: 1780, FP: 235, FN: 121
[VALID] Epoch 73: Loss: 0.0654, Acc: 91.85, F1: 92.41, Dice: 85.89, Pre: 0.86, Re: 0.99, TP: 615, TN: 524, FP: 96, FN: 5
[TRAIN] Epoch 74: Loss: 0.2209, Acc: 92.13, F1: 92.33, Dice: 85.75, Pre: 0.90, Re: 0.95, TP: 1908, TN: 1805, FP: 210, FN: 107
[VALID] Epoch 74: Loss: 0.0649, Acc: 92.98, F1: 93.34, Dice: 87.52, Pre: 0.89, Re: 0.98, TP: 610, TN: 543, FP: 77, FN: 10
[TRAIN] Epoch 75: Loss: 0.2284, Acc: 91.44, F1: 91.67, Dice: 84.63, Pre: 0.89, Re: 0.94, TP: 1899, TN: 1786, FP: 229, FN: 116
[VALID] Epoch 75: Loss: 0.0649, Acc: 93.06, F1: 93.32, Dice: 87.48, Pre: 0.90, Re: 0.97, TP: 601, TN: 553, FP: 67, FN: 19
[TRAIN] Epoch 76: Loss: 0.2209, Acc: 91.94, F1: 92.09, Dice: 85.33, Pre: 0.90, Re: 0.94, TP: 1891, TN: 1814, FP: 201, FN: 124
[VALID] Epoch 76: Loss: 0.0649, Acc: 92.66, F1: 93.04, Dice: 86.98, Pre: 0.89, Re: 0.98, TP: 608, TN: 541, FP: 79, FN: 12
